Indicators,Dec '25,Sep '25,Jun '25,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,,,,,,,,,,,,,,,,
P/L Before Tax,"29,697","29,124","37,146","29,103","28,643","25,037","23,234","27,720","25,833","26,493","24,294","24,083","23,006","20,454","27,301","22,266","25,094","19,195","17,307","16,368","14,907","10,484","13,186","9,252","14,905",,,,,,,,,,,,,,,,
Tax,"7,530","6,978","6,465","6,669","6,839","5,936","5,786","6,577","6,345","6,673","6,112","2,787","5,266","4,867","7,793","4,390","4,688","3,755","3,464","1,387",88,-13,260,"2,677","3,121",,,,,,,,,,,,,,,,
P/L After Tax from Ordinary Activities,"22,167","22,146","30,681","22,434","21,804","19,101","17,448","21,143","19,488","19,820","18,182","21,296","17,740","15,587","19,508","17,876","20,406","15,440","13,843","14,981","14,819","10,497","12,926","6,575","11,784",,,,,,,,,,,,,,,,
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Net Profit/(Loss) For the Period,"22,167","22,146","30,681","22,434","21,804","19,101","17,448","21,143","19,488","19,820","18,182","21,296","17,740","15,587","19,508","17,876","20,406","15,440","13,843","14,981","14,819","10,497","12,926","6,575","11,784",,,,,,,,,,,,,,,,
Minority Interest,"-3,645","-3,927","-3,789","-3,204","-3,390","-2,760","-2,307","-2,292","-2,376","-2,484","-2,247","-2,028","-2,014","-1,856","-1,488","-1,818","-1,990","-1,799","-1,533","-1,768","-1,793","-1,035",-15,-198,-201,,,,,,,,,,,,,,,,
Share Of P/L Of Associates,123,-54,102,177,126,222,-3,100,153,58,76,31,66,-75,-65,145,133,39,-37,14,75,105,322,-29,57,,,,,,,,,,,,,,,,
Net P/L After M.I & Associates,"18,645","18,165","26,994","19,407","18,540","16,563","15,138","18,951","17,265","17,394","16,011","19,299","15,792","13,656","17,955","16,203","18,549","13,680","12,273","13,227","13,101","9,567","13,233","6,348","11,640",,,,,,,,,,,,,,,,
Equity Share Capital,"13,532","13,532","13,532","13,532","13,532","6,766","6,766","6,766","6,766","6,766","6,766","6,766","6,766","6,766","6,765","6,765","6,765","6,551","6,550","6,445","6,445","6,445","6,445","6,339","6,339",,,,,,,,,,,,,,,,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,026",--,--,--,--,--,,,,,,,,,,,,,,,,
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,13.78,13.42,19.95,14.34,13.7,24.48,22.37,28.01,25.52,25.71,23.66,28.52,23.34,20.18,26.54,23.95,28.08,20.88,18.96,20.52,20.33,14.84,12.92,16.75,18.36,,,,,,,,,,,,,,,,
Diluted EPS,13.78,13.42,19.95,14.34,13.7,24.48,22.37,28.01,25.52,25.71,23.66,28.52,23.34,20.18,26.54,23.95,27.76,20.6,18.63,20.13,19.93,14.68,12.89,16.74,18.36,,,,,,,,,,,,,,,,
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,13.78,13.42,19.95,14.34,13.7,24.48,22.37,28.01,25.52,25.71,23.66,28.52,23.34,20.18,26.54,23.95,28.08,20.88,18.96,20.52,20.33,14.84,20.69,10.01,18.36,,,,,,,,,,,,,,,,
Diluted EPS.,13.78,13.42,19.95,14.34,13.7,24.48,22.37,28.01,25.52,25.71,23.66,28.52,23.34,20.18,26.54,23.95,27.76,20.6,18.63,20.13,19.93,14.68,20.63,10.01,18.36,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
